ID,Text,Sentiment,Confidence,Reason,Difficulty,Reviewed,Final_Label,Correction_Made,QC_Notes
T001,The workshop was extremely informative and well organized.,,,,,No,,No,
T002,"Honestly, The registration process was confusing and frustrating.",,,,,No,,No,
T003,"Overall, The meeting starts at 10 AM tomorrow.",,,,,No,,No,
T004,"In my opinion, Great, another assignment due tonight.",,,,,No,,No,
T005,The speaker was knowledgeable but the session was too long.,,,,,No,,No,
T006,Customer support solved my issue within minutes.,,,,,No,,No,
T007,"Honestly, The app crashes every time I open it.",,,,,No,,No,
T008,"Overall, The package arrived yesterday.",,,,,No,,No,
T009,"In my opinion, The new design looks beautiful.",,,,,No,,No,
T010,I expected much better service.,,,,,No,,No,
T011,The workshop was extremely informative and well organized. Thank you.,,,,,No,,No,
T012,"Honestly, The registration process was confusing and frustrating. Thank you.",,,,,No,,No,
T013,"Overall, The meeting starts at 10 AM tomorrow. Thank you.",,,,,No,,No,
T014,"In my opinion, Great, another assignment due tonight. Thank you.",,,,,No,,No,
T015,The speaker was knowledgeable but the session was too long. Thank you.,,,,,No,,No,
T016,Customer support solved my issue within minutes. Thank you.,,,,,No,,No,
T017,"Honestly, The app crashes every time I open it. Thank you.",,,,,No,,No,
T018,"Overall, The package arrived yesterday. Thank you.",,,,,No,,No,
T019,"In my opinion, The new design looks beautiful. Thank you.",,,,,No,,No,
T020,I expected much better service. Thank you.,,,,,No,,No,
T021,The workshop was extremely informative and well organized. It needs improvement.,,,,,No,,No,
T022,"Honestly, The registration process was confusing and frustrating. It needs improvement.",,,,,No,,No,
T023,"Overall, The meeting starts at 10 AM tomorrow. It needs improvement.",,,,,No,,No,
T024,"In my opinion, Great, another assignment due tonight. It needs improvement.",,,,,No,,No,
T025,The speaker was knowledgeable but the session was too long. It needs improvement.,,,,,No,,No,
T026,Customer support solved my issue within minutes. It needs improvement.,,,,,No,,No,
T027,"Honestly, The app crashes every time I open it. It needs improvement.",,,,,No,,No,
T028,"Overall, The package arrived yesterday. It needs improvement.",,,,,No,,No,
T029,"In my opinion, The new design looks beautiful. It needs improvement.",,,,,No,,No,
T030,I expected much better service. It needs improvement.,,,,,No,,No,
T031,The workshop was extremely informative and well organized. I would recommend it.,,,,,No,,No,
T032,"Honestly, The registration process was confusing and frustrating. I would recommend it.",,,,,No,,No,
T033,"Overall, The meeting starts at 10 AM tomorrow. I would recommend it.",,,,,No,,No,
T034,"In my opinion, Great, another assignment due tonight. I would recommend it.",,,,,No,,No,
T035,The speaker was knowledgeable but the session was too long. I would recommend it.,,,,,No,,No,
T036,Customer support solved my issue within minutes. I would recommend it.,,,,,No,,No,
T037,"Honestly, The app crashes every time I open it. I would recommend it.",,,,,No,,No,
T038,"Overall, The package arrived yesterday. I would recommend it.",,,,,No,,No,
T039,"In my opinion, The new design looks beautiful. I would recommend it.",,,,,No,,No,
T040,I expected much better service. I would recommend it.,,,,,No,,No,
T041,The workshop was extremely informative and well organized.,,,,,No,,No,
T042,"Honestly, The registration process was confusing and frustrating.",,,,,No,,No,
T043,"Overall, The meeting starts at 10 AM tomorrow.",,,,,No,,No,
T044,"In my opinion, Great, another assignment due tonight.",,,,,No,,No,
T045,The speaker was knowledgeable but the session was too long.,,,,,No,,No,
T046,Customer support solved my issue within minutes.,,,,,No,,No,
T047,"Honestly, The app crashes every time I open it.",,,,,No,,No,
T048,"Overall, The package arrived yesterday.",,,,,No,,No,
T049,"In my opinion, The new design looks beautiful.",,,,,No,,No,
T050,I expected much better service.,,,,,No,,No,
T051,The workshop was extremely informative and well organized.,,,,,No,,No,
T052,"Honestly, The registration process was confusing and frustrating.",,,,,No,,No,
T053,"Overall, The meeting starts at 10 AM tomorrow.",,,,,No,,No,
T054,"In my opinion, Great, another assignment due tonight.",,,,,No,,No,
T055,The speaker was knowledgeable but the session was too long.,,,,,No,,No,
T056,Customer support solved my issue within minutes.,,,,,No,,No,
T057,"Honestly, The app crashes every time I open it.",,,,,No,,No,
T058,"Overall, The package arrived yesterday.",,,,,No,,No,
T059,"In my opinion, The new design looks beautiful.",,,,,No,,No,
T060,I expected much better service.,,,,,No,,No,
T061,The workshop was extremely informative and well organized. Thank you.,,,,,No,,No,
T062,"Honestly, The registration process was confusing and frustrating. Thank you.",,,,,No,,No,
T063,"Overall, The meeting starts at 10 AM tomorrow. Thank you.",,,,,No,,No,
T064,"In my opinion, Great, another assignment due tonight. Thank you.",,,,,No,,No,
T065,The speaker was knowledgeable but the session was too long. Thank you.,,,,,No,,No,
T066,Customer support solved my issue within minutes. Thank you.,,,,,No,,No,
T067,"Honestly, The app crashes every time I open it. Thank you.",,,,,No,,No,
T068,"Overall, The package arrived yesterday. Thank you.",,,,,No,,No,
T069,"In my opinion, The new design looks beautiful. Thank you.",,,,,No,,No,
T070,I expected much better service. Thank you.,,,,,No,,No,
T071,The workshop was extremely informative and well organized. It needs improvement.,,,,,No,,No,
T072,"Honestly, The registration process was confusing and frustrating. It needs improvement.",,,,,No,,No,
T073,"Overall, The meeting starts at 10 AM tomorrow. It needs improvement.",,,,,No,,No,
T074,"In my opinion, Great, another assignment due tonight. It needs improvement.",,,,,No,,No,
T075,The speaker was knowledgeable but the session was too long. It needs improvement.,,,,,No,,No,
T076,Customer support solved my issue within minutes. It needs improvement.,,,,,No,,No,
T077,"Honestly, The app crashes every time I open it. It needs improvement.",,,,,No,,No,
T078,"Overall, The package arrived yesterday. It needs improvement.",,,,,No,,No,
T079,"In my opinion, The new design looks beautiful. It needs improvement.",,,,,No,,No,
T080,I expected much better service. It needs improvement.,,,,,No,,No,
T081,The workshop was extremely informative and well organized. I would recommend it.,,,,,No,,No,
T082,"Honestly, The registration process was confusing and frustrating. I would recommend it.",,,,,No,,No,
T083,"Overall, The meeting starts at 10 AM tomorrow. I would recommend it.",,,,,No,,No,
T084,"In my opinion, Great, another assignment due tonight. I would recommend it.",,,,,No,,No,
T085,The speaker was knowledgeable but the session was too long. I would recommend it.,,,,,No,,No,
T086,Customer support solved my issue within minutes. I would recommend it.,,,,,No,,No,
T087,"Honestly, The app crashes every time I open it. I would recommend it.",,,,,No,,No,
T088,"Overall, The package arrived yesterday. I would recommend it.",,,,,No,,No,
T089,"In my opinion, The new design looks beautiful. I would recommend it.",,,,,No,,No,
T090,I expected much better service. I would recommend it.,,,,,No,,No,
T091,The workshop was extremely informative and well organized.,,,,,No,,No,
T092,"Honestly, The registration process was confusing and frustrating.",,,,,No,,No,
T093,"Overall, The meeting starts at 10 AM tomorrow.",,,,,No,,No,
T094,"In my opinion, Great, another assignment due tonight.",,,,,No,,No,
T095,The speaker was knowledgeable but the session was too long.,,,,,No,,No,
T096,Customer support solved my issue within minutes.,,,,,No,,No,
